imagen,n_estrellas_con_fotometria,merr_mediana,merr_promedio,mag_min,mag_max
m92010,137,0.103,0.12183211678832116,12.29,18.969
m92011,125,0.114,0.14748,12.276,19.235
m92014,94,0.1065,0.14568085106382977,12.86,19.216
m92015,123,0.108,0.13559349593495934,12.87,18.833
