186.902  5.106  INDEF  INDEF
312.958  7.931  INDEF  INDEF
217.406  16.820  17.440  0.138
63.598  19.202  12.896  0.005
288.596  20.773  16.636  0.073
18.141  26.493  17.542  0.151
301.239  32.669  17.959  0.234
184.307  42.415  17.299  0.128
227.136  45.481  16.916  0.096
248.674  49.459  17.501  0.151
269.252  58.658  17.741  0.183
214.593  64.633  17.054  0.105
132.709  66.779  17.771  0.192
81.882  69.420  15.342  0.024
189.656  68.382  16.676  0.075
230.332  69.588  17.896  0.218
295.819  70.698  17.538  0.153
196.410  72.517  15.481  0.033
167.426  74.543  17.394  0.135
207.687  82.479  18.022  0.344
192.191  82.908  12.590  0.004
32.689  83.640  17.757  0.171
238.664  86.627  17.504  0.151
110.606  88.646  17.665  0.161
154.810  102.246  16.795  0.077
20.910  102.604  16.388  0.054
87.734  104.000  18.648  0.429
182.471  104.318  16.397  0.061
176.476  106.490  16.322  0.049
206.694  110.878  17.313  0.135
138.424  112.531  16.877  0.083
256.097  111.552  16.979  0.091
210.598  115.276  16.986  0.094
141.617  116.543  17.231  0.112
192.778  118.651  17.802  0.211
287.571  120.083  16.728  0.080
297.501  121.323  16.860  0.091
101.562  128.199  16.873  0.090
297.359  128.229  17.089  0.110
206.611  128.508  16.713  0.077
104.206  134.636  17.107  0.105
234.408  134.285  13.361  0.006
308.456  146.571  INDEF  INDEF
270.429  148.357  16.770  0.078
231.375  149.297  17.126  0.120
69.493  160.934  16.849  0.084
132.201  162.230  17.556  0.162
83.141  163.204  16.226  0.051
196.472  165.030  17.143  0.109
199.648  170.142  16.420  0.060
311.865  171.769  INDEF  INDEF
251.403  174.011  17.302  0.120
194.061  175.579  16.513  0.073
84.445  177.920  18.097  0.241
41.589  178.602  16.190  0.048
297.549  178.404  18.431  0.417
183.218  180.521  13.086  0.006
15.267  182.560  17.096  0.099
183.682  189.216  12.290  0.003
70.940  191.550  18.024  0.247
193.485  192.477  14.471  0.014
290.551  192.598  16.460  0.065
211.566  193.984  16.545  0.072
250.866  196.428  18.301  0.315
285.153  197.460  16.773  0.080
298.646  209.434  18.176  0.309
185.170  212.471  15.805  0.035
274.498  214.433  17.604  0.169
255.847  219.359  17.472  0.138
63.499  227.386  16.522  0.059
298.710  228.220  13.409  0.006
311.116  228.939  INDEF  INDEF
234.824  234.228  17.263  0.116
165.482  235.932  15.031  0.019
205.608  236.014  16.575  0.068
277.556  240.432  17.128  0.113
264.736  248.544  17.532  0.156
56.658  253.555  17.910  0.209
296.420  254.494  18.295  0.324
272.157  255.542  17.003  0.103
20.826  258.356  12.884  0.005
142.805  258.498  15.780  0.035
309.941  259.714  INDEF  INDEF
156.736  262.000  20.290  2.203
74.512  263.694  17.744  0.186
147.242  269.546  17.689  0.199
291.568  273.468  16.310  0.056
29.951  284.399  17.074  0.108
277.473  285.436  17.281  0.128
149.616  286.079  14.688  0.015
196.755  291.625  16.611  0.070
187.430  295.619  15.627  0.029
225.198  295.468  17.405  0.137
254.620  296.507  16.972  0.092
208.308  303.386  18.232  0.312
226.609  310.424  17.829  0.218
281.652  309.921  17.148  0.109
142.449  312.200  18.283  0.298
86.000  314.378  18.684  0.430
312.817  319.335  INDEF  INDEF
44.490  322.529  14.315  0.011
208.891  323.745  14.184  0.010
119.902  324.948  17.358  0.126
138.203  328.397  18.969  0.565
276.210  339.665  17.606  0.161
243.802  343.527  16.937  0.081
182.279  349.341  17.843  0.197
85.271  349.945  17.833  0.196
270.499  360.465  16.545  0.064
129.440  362.530  15.148  0.020
190.448  372.322  16.939  0.088
265.617  381.264  17.721  0.174
265.606  381.658  17.654  0.163
202.143  394.908  17.349  0.124
61.096  395.490  18.113  0.260
294.698  396.542  16.126  0.042
104.425  402.333  17.304  0.122
203.907  402.860  16.890  0.082
209.928  404.834  17.010  0.093
295.236  406.326  16.364  0.055
26.413  406.548  16.166  0.047
267.433  408.359  17.154  0.116
66.797  410.567  16.905  0.083
68.523  411.115  16.831  0.076
42.631  412.462  16.041  0.040
257.421  415.934  17.410  0.151
307.866  416.474  INDEF  INDEF
241.524  417.493  16.817  0.082
104.496  425.609  14.562  0.013
271.443  427.570  15.956  0.038
278.933  429.575  16.327  0.056
56.761  432.570  17.601  0.155
306.411  433.506  INDEF  INDEF
28.503  442.456  18.323  0.300
250.536  443.506  17.167  0.103
313.441  448.630  INDEF  INDEF
74.838  449.696  17.316  0.123
124.533  451.065  17.110  0.102
170.148  453.660  17.505  0.157
68.203  455.543  16.371  0.055
69.558  460.400  16.528  0.062
257.753  462.383  16.880  0.096
164.383  469.478  17.127  0.107
254.128  475.360  17.333  0.139
294.530  479.412  16.219  0.048
276.812  488.480  17.182  0.118
259.957  493.354  16.687  0.079
178.524  498.395  17.162  0.116
308.679  499.738  INDEF  INDEF
101.652  505.969  INDEF  INDEF
