radio_apertura_pix,n_estrellas_con_vecino_dentro
0.0,2
0.16753989365600172,10
0.33507978731200344,10
0.5026196809680051,10
0.6701595746240069,10
0.8376994682800086,10
1.0052393619360103,10
1.172779255592012,10
1.3403191492480138,10
1.5078590429040155,10
1.6753989365600173,10
1.842938830216019,10
2.0104787238720205,10
2.1780186175280223,10
2.345558511184024,10
2.513098404840026,10
2.6806382984960275,10
2.8481781921520293,10
3.015718085808031,10
3.1832579794640328,10
3.3507978731200345,10
3.5183377667760363,10
3.685877660432038,10
3.8534175540880398,10
4.020957447744041,10
4.188497341400043,10
4.356037235056045,10
4.523577128712047,10
4.691117022368048,10
4.85865691602405,10
5.026196809680052,10
5.193736703336054,10
5.361276596992055,10
5.528816490648056,10
5.6963563843040586,10
5.86389627796006,10
6.031436171616062,10
6.198976065272063,10
6.3665159589280655,16
6.534055852584067,16
6.701595746240069,20
6.86913563989607,20
7.0366755335520725,20
7.204215427208074,22
7.371755320864076,22
7.539295214520077,24
7.7068351081760795,28
7.874375001832081,28
8.041914895488082,32
8.209454789144084,32
8.376994682800087,33
8.544534576456087,33
8.71207447011209,35
8.879614363768091,35
9.047154257424094,37
9.214694151080094,37
9.382234044736096,39
9.549773938392098,41
9.7173138320481,41
9.884853725704101,42
10.052393619360103,42
10.219933513016105,43
10.387473406672108,47
10.555013300328108,47
10.72255319398411,49
10.890093087640112,49
11.057632981296113,50
11.225172874952115,50
11.392712768608117,50
11.56025266226412,50
11.72779255592012,50
11.895332449576122,50
12.062872343232124,51
12.230412236888126,52
12.397952130544127,52
12.565492024200129,53
12.733031917856131,53
12.900571811512133,53
13.068111705168134,55
13.235651598824136,55
13.403191492480138,57
13.570731386136138,57
13.73827127979214,59
13.905811173448143,59
14.073351067104145,59
14.240890960760145,59
14.408430854416148,61
14.57597074807215,63
14.743510641728152,64
14.911050535384152,64
15.078590429040155,64
15.246130322696157,64
15.413670216352159,64
15.58121011000816,67
15.748750003664162,67
15.916289897320164,67
16.083829790976164,68
16.251369684632166,72
16.41890957828817,73
16.58644947194417,73
16.753989365600173,74
16.921529259256175,76
17.089069152912174,79
17.256609046568176,79
17.42414894022418,83
17.59168883388018,84
17.759228727536183,84
17.926768621192185,84
18.094308514848187,85
18.26184840850419,85
18.429388302160188,85
18.59692819581619,85
18.764468089472192,90
18.932007983128194,90
19.099547876784197,92
19.2670877704402,93
19.4346276640962,94
19.6021675577522,95
19.769707451408202,95
19.937247345064204,95
20.104787238720206,95
20.27232713237621,95
20.43986702603221,95
20.607406919688213,96
20.774946813344215,96
20.942486707000214,96
21.110026600656216,100
21.277566494312218,101
21.44510638796822,101
21.612646281624222,101
21.780186175280225,105
21.947726068936227,105
22.115265962592225,105
22.282805856248228,105
22.45034574990423,107
22.617885643560232,107
22.785425537216234,108
22.952965430872236,108
23.12050532452824,108
23.28804521818424,108
23.45558511184024,108
23.62312500549624,110
23.790664899152244,110
23.958204792808246,114
24.125744686464248,114
24.29328458012025,116
24.460824473776253,116
24.62836436743225,116
24.795904261088253,116
24.963444154744256,117
25.130984048400258,118
25.29852394205626,120
25.466063835712262,121
25.633603729368264,122
25.801143623024267,122
25.968683516680265,122
26.136223410336267,122
26.30376330399227,122
26.471303197648272,123
26.638843091304274,123
26.806382984960276,125
26.97392287861628,125
27.141462772272277,125
27.30900266592828,125
27.47654255958428,126
27.644082453240284,126
27.811622346896286,127
27.979162240552288,127
28.14670213420829,127
28.314242027864292,128
28.48178192152029,128
28.649321815176293,128
28.816861708832295,128
28.984401602488298,128
29.1519414961443,128
29.319481389800302,129
29.487021283456304,129
29.654561177112303,129
29.822101070768305,129
29.989640964424307,129
30.15718085808031,129
30.32472075173631,130
30.492260645392314,130
30.659800539048316,131
30.827340432704318,132
30.994880326360317,132
31.16242022001632,132
31.32996011367232,132
31.497500007328323,132
31.665039900984326,132
31.832579794640328,132
32.00011968829633,132
32.16765958195233,132
32.335199475608334,132
32.50273936926433,132
32.67027926292034,134
32.83781915657634,134
33.005359050232336,134
33.17289894388834,134
33.34043883754434,134
33.507978731200346,134
33.675518624856345,134
33.84305851851235,134
34.01059841216835,134
34.17813830582435,135
34.34567819948035,135
34.51321809313635,135
34.68075798679236,135
34.84829788044836,136
35.01583777410436,136
35.18337766776036,136
35.35091756141636,136
35.518457455072365,136
35.685997348728364,136
35.85353724238437,136
36.02107713604037,136
36.188617029696374,136
36.35615692335237,136
36.52369681700838,136
36.69123671066438,136
36.858776604320376,136
37.02631649797638,136
37.19385639163238,136
37.361396285288386,136
37.528936178944384,136
37.69647607260039,136
37.86401596625639,136
38.03155585991239,136
38.19909575356839,136
38.36663564722439,138
38.5341755408804,138
38.701715434536396,138
38.8692553281924,138
39.0367952218484,138
39.2043351155044,140
39.371875009160405,140
39.539414902816404,140
39.70695479647241,140
39.87449469012841,140
40.042034583784414,140
40.20957447744041,140
40.37711437109641,140
40.54465426475242,140
40.712194158408415,142
40.87973405206442,142
41.04727394572042,142
41.214813839376426,142
41.382353733032424,142
41.54989362668843,142
41.71743352034443,142
41.88497341400043,142
42.05251330765643,142
42.22005320131243,142
42.38759309496844,142
42.555132988624436,142
42.72267288228044,142
42.89021277593644,142
43.05775266959244,142
43.225292563248445,142
43.39283245690444,142
43.56037235056045,142
43.72791224421645,142
43.895452137872454,142
44.06299203152845,142
44.23053192518445,142
44.39807181884046,142
44.565611712496455,142
44.73315160615246,142
44.90069149980846,142
45.068231393464465,142
45.235771287120464,142
45.40331118077647,142
45.57085107443247,142
45.73839096808847,142
45.90593086174447,142
46.07347075540047,142
46.24101064905648,144
46.408550542712476,144
46.57609043636848,144
46.74363033002448,144
46.91117022368048,144
47.078710117336485,144
47.24625001099248,144
47.41378990464849,144
47.58132979830449,144
47.74886969196049,144
