182.418  7.351  INDEF  INDEF
58.934  21.319  13.406  0.008
284.076  23.134  17.153  0.217
222.358  47.451  17.152  0.223
210.173  66.803  17.634  0.335
185.294  70.921  14.463  0.021
77.208  71.537  15.817  0.062
225.572  71.700  17.286  0.245
291.356  73.179  17.290  0.249
192.093  74.522  13.155  0.008
187.535  85.199  12.948  0.006
150.323  104.496  16.496  0.106
16.278  104.801  16.843  0.162
171.873  108.587  16.449  0.108
251.484  114.038  17.230  0.221
283.141  122.374  16.693  0.160
293.058  123.637  16.525  0.132
202.256  130.735  16.505  0.114
229.733  136.452  13.708  0.011
265.759  150.164  17.056  0.197
226.630  151.457  16.056  0.084
89.889  154.838  18.981  1.125
100.529  158.000  19.941  3.036
64.882  162.956  16.847  0.168
78.508  165.370  16.597  0.140
127.661  164.482  17.427  0.272
195.104  172.392  16.933  0.177
307.375  174.097  INDEF  INDEF
246.782  176.189  17.105  0.198
36.670  180.763  16.551  0.111
178.472  183.165  12.875  0.007
10.284  184.601  INDEF  INDEF
179.407  191.468  12.849  0.006
285.662  195.036  16.496  0.120
206.940  196.215  16.885  0.156
180.481  214.523  16.088  0.078
251.296  221.393  17.256  0.239
58.664  229.721  16.600  0.119
294.438  230.504  14.213  0.016
160.735  238.276  15.364  0.038
201.344  238.407  16.758  0.145
273.042  242.850  17.111  0.209
267.428  257.555  16.483  0.125
16.223  260.553  13.412  0.008
138.275  260.786  15.844  0.064
305.525  262.305  INDEF  INDEF
287.211  275.565  16.094  0.080
25.134  286.761  16.842  0.149
145.180  288.425  14.298  0.017
192.279  294.089  16.233  0.095
182.572  298.368  16.081  0.080
220.788  298.073  17.793  0.346
250.415  298.925  17.184  0.226
222.057  312.573  17.267  0.234
246.121  315.478  INDEF  INDEF
308.421  321.581  INDEF  INDEF
39.626  324.921  14.612  0.021
204.453  326.216  14.456  0.020
115.466  326.612  17.715  0.364
239.315  345.624  16.643  0.129
81.202  352.695  17.675  0.337
266.257  362.584  16.666  0.126
124.595  365.207  16.024  0.070
185.670  374.405  16.997  0.181
290.431  399.032  15.850  0.069
21.552  409.027  16.510  0.126
262.734  410.463  16.965  0.208
37.850  414.709  16.363  0.103
252.615  418.484  17.253  0.272
236.850  419.580  17.159  0.213
303.405  418.626  INDEF  INDEF
99.721  428.164  14.207  0.016
266.627  429.939  16.209  0.085
308.899  450.991  INDEF  INDEF
119.964  453.389  17.180  0.196
63.385  458.027  16.449  0.108
253.287  464.552  17.303  0.240
249.609  477.546  17.192  0.234
289.936  481.626  16.069  0.081
255.478  495.653  16.470  0.112
