144.234  3.390  INDEF  INDEF
178.199  5.660  INDEF  INDEF
249.583  6.000  INDEF  INDEF
187.455  6.703  INDEF  INDEF
259.085  16.650  19.395  1.063
64.229  20.749  12.892  0.005
243.119  24.965  20.484  2.701
289.263  22.569  16.426  0.067
18.688  28.324  17.393  0.156
184.653  43.734  17.295  0.155
227.451  47.052  16.781  0.097
238.120  47.597  17.593  0.218
249.469  51.430  17.235  0.150
215.211  66.473  16.901  0.113
82.437  71.030  15.364  0.028
190.476  70.467  15.917  0.048
230.555  71.434  17.810  0.255
196.897  74.633  13.803  0.010
296.475  72.258  17.445  0.169
167.640  76.192  17.902  0.270
192.576  84.651  12.580  0.004
33.079  85.267  18.011  0.282
103.404  87.060  19.235  0.893
239.709  88.293  18.089  0.300
155.420  103.892  17.005  0.114
21.478  104.346  16.284  0.058
183.097  105.908  16.444  0.072
88.437  105.590  18.211  0.336
176.913  108.304  16.286  0.058
256.612  113.443  17.236  0.137
142.398  117.806  17.235  0.141
193.400  120.518  INDEF  INDEF
288.039  121.637  16.796  0.103
298.232  122.955  16.773  0.097
102.427  129.924  16.773  0.093
207.320  130.258  16.786  0.098
234.795  135.963  13.351  0.007
104.586  136.127  16.925  0.115
309.174  148.571  INDEF  INDEF
271.025  149.511  17.075  0.122
116.514  150.312  17.154  0.137
231.652  151.147  16.991  0.126
123.943  154.833  17.623  0.200
152.000  161.477  18.637  0.477
70.097  162.685  16.768  0.094
83.546  165.040  16.194  0.057
132.558  163.975  17.150  0.131
221.473  165.470  18.227  0.355
200.379  171.920  16.543  0.086
312.403  173.542  INDEF  INDEF
251.555  175.652  17.505  0.173
194.654  177.409  16.148  0.064
42.034  180.557  16.220  0.060
183.667  183.220  12.413  0.004
298.303  181.274  17.571  0.242
15.607  184.189  17.344  0.153
110.757  184.189  INDEF  INDEF
197.578  186.726  15.677  0.044
184.422  190.883  12.276  0.004
290.647  194.681  16.339  0.066
212.110  195.697  16.499  0.081
266.689  199.482  INDEF  INDEF
285.565  198.500  16.734  0.090
113.579  205.744  20.615  3.155
299.349  211.254  17.932  0.320
185.572  214.331  15.900  0.048
275.064  216.102  17.989  0.277
256.417  221.180  17.062  0.122
63.866  229.190  16.574  0.075
299.420  229.966  13.405  0.007
235.557  235.712  17.168  0.125
165.958  237.686  15.022  0.020
206.395  237.609  16.664  0.083
15.073  239.113  INDEF  INDEF
278.064  242.351  17.054  0.136
265.705  250.222  17.019  0.122
272.539  257.620  16.956  0.117
278.800  258.525  17.133  0.148
21.450  259.919  12.867  0.005
143.515  260.471  15.831  0.039
310.503  261.470  INDEF  INDEF
75.043  265.866  18.088  0.309
147.860  271.788  17.722  0.243
147.901  271.766  17.677  0.234
292.354  275.157  16.298  0.064
198.512  279.481  18.802  0.632
198.512  279.496  18.865  0.670
277.576  286.628  17.230  0.137
30.470  286.080  16.934  0.108
150.384  287.692  14.668  0.016
277.576  286.628  17.230  0.137
197.398  293.315  16.048  0.051
187.887  297.469  15.494  0.031
226.107  297.396  17.545  0.189
255.499  298.436  16.721  0.093
208.784  305.090  19.033  0.809
227.316  311.919  17.596  0.222
282.302  311.754  16.984  0.107
313.297  321.553  INDEF  INDEF
45.053  324.257  14.306  0.012
209.484  325.528  14.128  0.011
120.446  326.496  17.030  0.115
276.450  341.561  17.546  0.191
244.274  344.899  16.946  0.112
85.692  352.054  18.089  0.292
182.764  351.628  18.221  0.351
85.601  352.047  18.070  0.288
271.376  362.216  16.605  0.082
35.936  363.902  21.075  4.699
129.904  364.393  15.174  0.024
251.450  368.732  INDEF  INDEF
191.181  374.032  16.591  0.075
266.201  383.627  17.776  0.231
202.576  396.153  17.040  0.114
295.467  398.381  15.895  0.043
204.712  404.201  16.608  0.077
104.801  403.356  16.989  0.116
210.530  406.433  17.202  0.134
295.612  407.795  16.296  0.070
26.885  408.579  16.237  0.059
268.220  409.813  17.437  0.180
68.519  412.594  17.035  0.116
43.313  414.193  16.012  0.047
257.981  417.880  17.323  0.171
308.580  418.177  INDEF  INDEF
241.931  419.237  16.931  0.107
105.111  427.491  14.569  0.014
271.953  429.382  15.859  0.042
279.244  431.067  16.143  0.057
288.097  441.083  18.169  0.332
293.650  446.728  17.827  0.230
124.958  452.527  17.288  0.150
314.326  450.406  INDEF  INDEF
75.532  451.673  16.816  0.100
125.020  452.593  17.335  0.156
170.970  455.367  17.293  0.153
68.673  457.396  16.363  0.063
258.543  463.761  16.806  0.103
164.670  471.505  17.907  0.256
254.710  476.559  17.609  0.212
295.068  480.779  16.142  0.057
220.583  483.154  17.794  0.222
293.370  487.719  16.329  0.076
260.613  495.347  16.546  0.083
271.821  507.828  INDEF  INDEF
