186.902  5.106  INDEF  INDEF
312.958  7.931  INDEF  INDEF
63.598  19.202  12.934  0.004
288.596  20.773  16.758  0.051
18.141  26.493  17.462  0.092
184.307  42.415  17.352  0.091
227.136  45.481  17.059  0.077
248.674  49.459  17.747  0.131
214.593  64.633  16.925  0.063
132.709  66.779  17.875  0.135
81.882  69.420  15.405  0.019
189.656  68.382  17.364  0.096
230.332  69.588  17.611  0.110
295.819  70.698  17.613  0.108
196.410  72.517  16.982  0.080
192.191  82.908  12.620  0.004
32.689  83.640  17.694  0.109
238.664  86.627  17.797  0.117
110.606  88.646  17.837  0.120
154.810  102.246  16.730  0.048
20.910  102.604  16.430  0.039
176.476  106.490  16.500  0.040
256.097  111.552  17.133  0.070
210.598  115.276  17.331  0.087
141.617  116.543  17.443  0.090
192.778  118.651  17.728  0.117
287.571  120.083  17.047  0.073
297.501  121.323  17.364  0.091
101.562  128.199  17.790  0.133
206.611  128.508  16.714  0.049
104.206  134.636  17.360  0.087
234.408  134.285  13.393  0.006
308.456  146.571  17.412  0.093
270.429  148.357  16.937  0.060
231.375  149.297  17.444  0.106
69.493  160.934  16.835  0.060
132.201  162.230  17.623  0.108
83.141  163.204  16.219  0.035
199.648  170.142  16.976  0.065
311.865  171.769  INDEF  INDEF
251.403  174.011  17.443  0.093
194.061  175.579  17.182  0.089
84.445  177.920  18.336  0.197
41.589  178.602  16.250  0.035
297.549  178.404  18.146  0.192
183.218  180.521  15.529  0.028
15.267  182.560  17.148  0.065
183.682  189.216  12.331  0.003
70.940  191.550  17.993  0.145
290.551  192.598  17.082  0.073
211.566  193.984  16.619  0.048
185.170  212.471  15.877  0.025
274.498  214.433  17.572  0.099
255.847  219.359  17.183  0.069
63.499  227.386  16.634  0.044
298.710  228.220  13.439  0.006
311.116  228.939  INDEF  INDEF
234.824  234.228  17.718  0.110
165.482  235.932  15.073  0.015
205.608  236.014  16.609  0.047
277.556  240.432  17.097  0.070
296.420  254.494  18.656  0.298
272.157  255.542  17.096  0.071
20.826  258.356  12.920  0.004
142.805  258.498  15.823  0.026
309.941  259.714  INDEF  INDEF
291.568  273.468  16.308  0.037
29.951  284.399  17.012  0.065
277.473  285.436  17.367  0.092
149.616  286.079  14.716  0.012
196.755  291.625  16.989  0.069
187.430  295.619  15.700  0.024
225.198  295.468  17.408  0.093
254.620  296.507  17.045  0.069
226.609  310.424  17.719  0.124
281.652  309.921  17.351  0.082
86.000  314.378  19.683  0.663
312.817  319.335  INDEF  INDEF
44.490  322.529  14.357  0.010
208.891  323.745  14.200  0.009
119.902  324.948  17.239  0.075
276.210  339.665  17.982  0.151
243.802  343.527  17.040  0.062
85.271  349.945  17.914  0.138
270.499  360.465  16.621  0.045
129.440  362.530  15.205  0.016
190.448  372.322  16.857  0.054
265.606  381.658  17.743  0.119
202.143  394.908  17.887  0.138
294.698  396.542  16.324  0.038
104.425  402.333  17.409  0.090
203.907  402.860  17.510  0.095
209.928  404.834  17.588  0.104
295.236  406.326  16.787  0.054
26.413  406.548  16.201  0.032
267.433  408.359  17.156  0.075
66.797  410.567  16.932  0.055
68.523  411.115  16.942  0.056
42.631  412.462  16.080  0.030
257.421  415.934  17.402  0.109
307.866  416.474  17.094  0.070
241.524  417.493  17.026  0.065
104.496  425.609  14.596  0.011
271.443  427.570  16.292  0.036
278.933  429.575  17.702  0.142
250.536  443.506  17.453  0.090
313.441  448.630  INDEF  INDEF
74.838  449.696  18.008  0.148
124.533  451.065  17.223  0.067
170.148  453.660  17.765  0.118
68.203  455.543  16.692  0.049
69.558  460.400  16.833  0.056
257.753  462.383  16.961  0.065
254.128  475.360  17.585  0.111
294.530  479.412  16.286  0.036
276.812  488.480  17.166  0.074
259.957  493.354  16.644  0.048
178.524  498.395  17.329  0.086
101.652  505.969  INDEF  INDEF
