182.412  7.329  INDEF  INDEF
213.388  19.040  19.007  0.632
58.951  21.336  13.428  0.007
284.001  23.296  16.891  0.094
179.569  44.547  17.480  0.162
222.340  47.539  17.487  0.171
243.966  51.912  17.694  0.200
311.610  62.000  INDEF  INDEF
209.928  66.972  17.076  0.111
184.869  70.738  16.709  0.092
77.285  71.491  15.896  0.040
225.530  71.858  17.464  0.164
291.288  73.252  17.512  0.172
191.733  74.545  15.559  0.033
159.368  81.000  18.015  0.273
187.528  85.212  12.958  0.005
27.439  85.618  17.840  0.202
234.516  89.253  17.734  0.213
105.548  91.253  17.975  0.243
150.324  104.517  16.794  0.083
16.290  104.999  16.923  0.096
171.892  108.587  16.446  0.065
251.574  113.878  17.014  0.098
206.182  117.620  17.264  0.136
282.713  122.475  17.090  0.121
293.001  123.571  16.899  0.098
202.282  130.661  16.766  0.086
229.678  136.459  13.750  0.008
99.436  136.808  17.031  0.112
303.804  148.574  17.520  0.158
265.791  150.054  17.123  0.110
226.583  151.332  17.432  0.172
90.462  154.750  17.889  0.240
64.758  162.982  16.857  0.102
127.602  164.541  17.600  0.180
78.503  165.488  16.684  0.086
194.983  172.447  16.644  0.074
307.406  174.118  INDEF  INDEF
189.530  177.726  16.628  0.097
246.625  176.334  17.423  0.152
36.665  180.795  16.517  0.071
178.534  182.848  13.462  0.008
10.501  184.766  17.522  0.170
179.401  191.446  12.878  0.005
188.974  195.479  15.008  0.022
285.645  194.859  16.933  0.103
206.678  196.122  16.673  0.080
180.513  214.571  16.197  0.051
269.787  216.949  17.721  0.194
251.485  221.512  17.192  0.119
313.471  226.425  INDEF  INDEF
58.733  229.391  16.722  0.078
294.418  230.513  14.210  0.011
160.764  238.304  15.411  0.025
201.256  238.534  16.908  0.093
272.905  242.875  17.398  0.157
267.450  257.680  17.164  0.130
16.281  260.512  13.422  0.006
138.409  260.822  16.217  0.057
305.420  262.447  17.059  0.104
287.185  275.545  16.466  0.066
193.135  280.590  17.365  0.144
25.449  286.778  17.210  0.122
145.208  288.386  14.324  0.012
272.721  287.603  17.138  0.121
192.284  293.778  16.670  0.081
182.710  298.251  16.682  0.084
220.662  297.893  17.688  0.202
250.401  298.783  16.911  0.100
221.868  312.909  17.482  0.154
308.465  321.727  INDEF  INDEF
39.708  324.882  14.619  0.014
204.427  326.191  14.501  0.013
115.361  327.093  17.471  0.165
271.981  342.045  18.360  0.365
239.385  346.234  16.896  0.092
80.625  352.711  18.278  0.330
266.151  362.633  16.644  0.078
124.634  365.064  16.189  0.046
185.845  374.494  17.261  0.126
261.239  384.016  17.937  0.246
290.383  398.879  16.267  0.054
205.227  406.959  17.434  0.150
21.549  408.952  16.326  0.056
290.563  408.584  16.714  0.093
263.131  410.497  17.525  0.181
63.124  413.117  17.092  0.109
37.949  414.748  16.310  0.059
252.580  418.241  17.719  0.240
303.550  418.596  17.158  0.129
236.703  419.634  17.041  0.103
99.732  428.067  14.202  0.011
266.602  429.946  16.216  0.052
274.107  431.507  16.752  0.103
246.171  445.613  17.241  0.124
309.074  450.879  INDEF  INDEF
120.125  453.196  17.283  0.133
165.484  456.008  17.843  0.218
63.546  457.955  16.407  0.061
253.348  464.491  16.936  0.102
249.483  477.458  17.723  0.218
290.035  481.345  16.283  0.056
272.401  490.419  16.641  0.076
255.493  495.465  16.561  0.079
262.626  496.582  16.430  0.070
173.856  500.492  17.105  0.114
96.635  507.988  INDEF  INDEF
