182.412  7.329  14.300  0.009
213.388  19.040  18.472  0.233
58.951  21.336  13.454  0.006
284.001  23.296  16.943  0.062
179.569  44.547  17.551  0.105
222.340  47.539  17.398  0.097
243.966  51.912  17.716  0.124
311.610  62.000  INDEF  INDEF
209.928  66.972  17.086  0.070
184.869  70.738  17.416  0.105
77.285  71.491  15.906  0.027
225.530  71.858  17.560  0.110
291.288  73.252  17.628  0.116
191.733  74.545  17.246  0.088
159.368  81.000  18.529  0.262
187.528  85.212  12.984  0.005
27.439  85.618  17.882  0.128
234.516  89.253  17.895  0.149
105.548  91.253  18.156  0.173
150.324  104.517  16.847  0.055
16.290  104.999  17.002  0.065
171.892  108.587  16.592  0.047
251.574  113.878  17.157  0.070
206.182  117.620  17.589  0.111
282.713  122.475  17.206  0.083
293.001  123.571  17.367  0.091
202.282  130.661  16.804  0.056
229.678  136.459  13.772  0.007
99.436  136.808  17.440  0.099
303.804  148.574  17.708  0.114
265.791  150.054  17.244  0.076
226.583  151.332  17.682  0.130
90.462  154.750  18.267  0.203
64.758  162.982  16.898  0.066
127.602  164.541  17.659  0.116
78.503  165.488  16.750  0.057
194.983  172.447  17.095  0.069
307.406  174.118  15.746  0.026
189.530  177.726  17.324  0.109
246.625  176.334  17.517  0.102
36.665  180.795  16.506  0.045
178.534  182.848  15.621  0.029
10.501  184.766  17.481  0.099
179.401  191.446  12.916  0.005
188.974  195.479  17.227  0.092
285.645  194.859  17.279  0.086
206.678  196.122  16.712  0.052
180.513  214.571  16.192  0.034
269.787  216.949  17.991  0.150
251.485  221.512  17.264  0.079
313.471  226.425  INDEF  INDEF
58.733  229.391  16.849  0.055
294.418  230.513  14.237  0.009
160.764  238.304  15.457  0.019
201.256  238.534  16.814  0.054
272.905  242.875  17.313  0.090
267.450  257.680  17.289  0.089
16.281  260.512  13.447  0.006
138.409  260.822  16.175  0.036
305.420  262.447  17.123  0.068
287.185  275.545  16.517  0.044
193.135  280.590  17.914  0.143
25.449  286.778  17.163  0.073
145.208  288.386  14.351  0.010
272.721  287.603  17.475  0.100
192.284  293.778  17.068  0.071
182.710  298.251  16.788  0.058
220.662  297.893  17.748  0.130
250.401  298.783  17.032  0.069
221.868  312.909  17.571  0.102
308.465  321.727  17.374  0.097
39.708  324.882  14.634  0.011
204.427  326.191  14.519  0.010
115.361  327.093  17.443  0.099
271.981  342.045  18.088  0.171
239.385  346.234  17.067  0.067
80.625  352.711  18.518  0.246
266.151  362.633  16.685  0.052
124.634  365.064  16.220  0.032
185.845  374.494  17.226  0.076
261.239  384.016  17.930  0.148
290.383  398.879  16.475  0.042
205.227  406.959  17.806  0.128
21.549  408.952  16.397  0.039
290.563  408.584  17.079  0.079
263.131  410.497  17.320  0.092
63.124  413.117  17.104  0.069
37.949  414.748  16.324  0.039
252.580  418.241  17.636  0.134
303.550  418.596  17.242  0.085
236.703  419.634  17.173  0.072
99.732  428.067  14.223  0.009
266.602  429.946  16.503  0.043
274.107  431.507  17.872  0.171
246.171  445.613  17.481  0.095
309.074  450.879  16.861  0.068
120.125  453.196  17.516  0.100
165.484  456.008  17.999  0.152
63.546  457.955  16.758  0.053
253.348  464.491  16.989  0.067
249.483  477.458  17.765  0.136
290.035  481.345  16.460  0.042
272.401  490.419  16.726  0.052
255.493  495.465  16.756  0.058
262.626  496.582  17.906  0.156
173.856  500.492  17.328  0.084
96.635  507.988  INDEF  INDEF
