144.234  3.390  INDEF  INDEF
187.455  6.703  INDEF  INDEF
64.229  20.749  12.896  0.006
289.263  22.569  16.280  0.096
18.688  28.324  17.177  0.208
184.653  43.734  17.258  0.259
227.451  47.052  16.774  0.162
249.469  51.430  17.137  0.238
215.211  66.473  16.507  0.122
82.437  71.030  15.338  0.042
190.476  70.467  13.828  0.013
230.555  71.434  16.894  0.171
196.897  74.633  12.667  0.006
296.475  72.258  17.121  0.208
167.640  76.192  17.815  0.409
192.576  84.651  12.568  0.005
33.079  85.267  17.819  0.375
155.420  103.892  16.866  0.162
21.478  104.346  16.311  0.097
176.913  108.304  16.277  0.095
256.612  113.443  17.136  0.203
288.039  121.637  16.524  0.146
298.232  122.955  16.397  0.112
207.320  130.258  16.376  0.098
234.795  135.963  13.351  0.009
104.586  136.127  16.708  0.149
309.174  148.571  INDEF  INDEF
271.025  149.511  17.177  0.224
231.652  151.147  15.522  0.055
70.097  162.685  16.275  0.100
83.546  165.040  16.036  0.077
132.558  163.975  16.491  0.121
200.379  171.920  16.393  0.111
312.403  173.542  INDEF  INDEF
251.555  175.652  18.039  0.493
194.654  177.409  15.070  0.044
42.034  180.557  16.101  0.082
183.667  183.220  12.277  0.005
15.607  184.189  17.269  0.241
184.422  190.883  12.272  0.004
290.647  194.681  16.398  0.115
212.110  195.697  16.494  0.116
185.572  214.331  15.854  0.068
275.064  216.102  18.111  0.514
256.417  221.180  16.698  0.140
63.866  229.190  16.631  0.126
299.420  229.966  13.392  0.009
235.557  235.712  16.781  0.141
165.958  237.686  15.028  0.030
206.395  237.609  16.292  0.100
278.064  242.351  16.926  0.173
272.539  257.620  16.919  0.184
21.450  259.919  12.879  0.006
143.515  260.471  15.744  0.060
310.503  261.470  INDEF  INDEF
75.043  265.866  17.931  0.434
292.354  275.157  16.182  0.095
30.470  286.080  16.868  0.159
150.384  287.692  14.655  0.023
277.576  286.628  17.218  0.235
197.398  293.315  15.335  0.043
187.887  297.469  15.478  0.054
226.107  297.396  17.529  0.310
255.499  298.436  16.730  0.153
227.316  311.919  17.499  0.302
313.297  321.553  INDEF  INDEF
45.053  324.257  14.312  0.018
209.484  325.528  14.112  0.015
120.446  326.496  17.111  0.204
276.450  341.561  17.595  0.339
244.274  344.899  16.846  0.157
271.376  362.216  16.517  0.114
129.904  364.393  15.141  0.037
191.181  374.032  16.314  0.092
295.467  398.381  15.665  0.059
295.612  407.795  15.958  0.083
26.885  408.579  16.268  0.100
268.220  409.813  16.720  0.161
43.313  414.193  16.087  0.079
257.981  417.880  16.606  0.178
308.580  418.177  INDEF  INDEF
241.931  419.237  16.767  0.142
105.111  427.491  14.593  0.022
271.953  429.382  15.914  0.071
288.097  441.083  17.835  0.402
314.326  450.406  INDEF  INDEF
170.970  455.367  17.029  0.186
68.673  457.396  16.164  0.086
258.543  463.761  16.513  0.119
254.710  476.559  16.927  0.181
295.068  480.779  16.176  0.099
260.613  495.347  16.457  0.116
