id,x,y,n_pix_anillo,q1,mediana_cielo,q3,iqr,limite_superior_boxplot,n_outliers_altos,frac_outliers_altos,p95,maximo,contaminada
1,144.234,3.39,682,36.628414154052734,41.21388626098633,45.7638635635376,9.135449409484863,59.46703767776489,5,0.007331378299120235,53.78288421630859,64.24628448486328,False
2,178.199,5.66,730,37.66298198699951,42.462432861328125,47.389254570007324,9.726272583007812,61.97866344451904,7,0.009589041095890411,55.79064178466796,67.6934585571289,False
3,249.583,6.0,739,37.11860275268555,42.20890808105469,47.14529228210449,10.026689529418945,62.18532657623291,1,0.0013531799729364006,54.42477226257324,64.40778350830078,False
4,187.455,6.703,754,37.29102325439453,42.2122688293457,47.2281379699707,9.937114715576172,62.13381004333496,8,0.010610079575596816,55.48394546508789,64.33513641357422,False
5,259.085,16.65,1023,36.528310775756836,41.4726676940918,46.91331481933594,10.385004043579102,62.49082088470459,3,0.002932551319648094,54.599797821044916,64.5583267211914,False
6,64.229,20.749,1160,37.524330139160156,42.97177505493164,47.64716815948486,10.122838020324707,62.831425189971924,9,0.007758620689655172,56.09640121459961,80.6661148071289,False
7,243.119,24.965,1252,37.36837100982666,42.37379837036133,47.55818462371826,10.189813613891602,62.842905044555664,16,0.012779552715654952,56.13581466674805,89.38407135009766,False
8,289.263,22.569,1208,37.058963775634766,41.89625930786133,47.549086570739746,10.49012279510498,63.28427076339722,13,0.01076158940397351,54.69806480407714,79.30081176757812,False
9,18.688,28.324,1094,36.760311126708984,41.648176193237305,46.375484466552734,9.61517333984375,60.79824447631836,7,0.006398537477148081,53.5558967590332,67.16852569580078,False
10,184.653,43.734,1256,37.026963233947754,41.38062858581543,46.23736763000488,9.210404396057129,60.052974224090576,14,0.011146496815286623,53.63275337219238,73.98994445800781,False
11,227.451,47.052,1256,37.843971252441406,42.5811882019043,48.076905250549316,10.23293399810791,63.42630624771118,51,0.04060509554140127,60.03465747833252,153.65660095214844,True
12,238.12,47.597,1253,37.04777526855469,42.05957794189453,47.755615234375,10.707839965820312,63.81737518310547,8,0.006384676775738229,55.83518829345703,107.70049285888672,False
13,249.469,51.43,1260,37.68431854248047,42.63715934753418,47.93565082550049,10.25133228302002,63.31264925003052,35,0.027777777777777776,57.47969722747801,127.36814880371094,False
14,215.211,66.473,1256,38.81393909454346,44.06962203979492,51.764283180236816,12.95034408569336,71.18979930877686,76,0.06050955414012739,74.61601448059082,278.0249328613281,True
15,82.437,71.03,1254,37.351874351501465,42.27878189086914,47.12049865722656,9.768624305725098,61.77343511581421,7,0.005582137161084529,54.66479854583739,68.56568145751953,False
16,190.476,70.467,1259,38.78445053100586,44.313507080078125,51.6423225402832,12.857872009277344,70.92913055419922,84,0.06671961874503574,85.48066406249991,4615.23583984375,True
17,230.555,71.434,1262,37.810147285461426,43.36018371582031,50.05350112915039,12.243353843688965,68.41853189468384,41,0.03248811410459588,63.045199775695835,153.65660095214844,True
18,196.897,74.633,1257,38.63011169433594,44.008846282958984,49.98456573486328,11.354454040527344,67.0162467956543,52,0.04136833731105807,63.553154754638676,276.53729248046875,True
19,296.475,72.258,1124,36.52234077453613,41.617855072021484,46.85945415496826,10.337113380432129,62.365124225616455,6,0.005338078291814947,54.621032142639145,69.38351440429688,False
20,167.64,76.192,1251,37.6012077331543,43.15017318725586,49.079898834228516,11.478691101074219,66.29793548583984,69,0.05515587529976019,70.20179748535156,2494.280517578125,True
21,192.576,84.651,1260,38.062615394592285,43.44527626037598,48.57451629638672,10.511900901794434,64.34236764907837,27,0.02142857142857143,58.4779556274414,91.48294067382812,False
22,33.079,85.267,1258,36.96006202697754,41.4932746887207,46.96192169189453,10.001859664916992,61.96471118927002,33,0.026232114467408585,57.23875083923338,215.60455322265625,False
23,103.404,87.06,1258,36.98225021362305,41.993961334228516,46.64521026611328,9.662960052490234,61.13965034484863,19,0.015103338632750398,54.68659973144531,216.35691833496094,False
24,239.709,88.293,1258,37.44735336303711,42.277238845825195,47.716952323913574,10.269598960876465,63.12135076522827,25,0.01987281399046105,56.14766387939452,107.70049285888672,False
25,155.42,103.892,1252,38.04288864135742,43.29619026184082,48.58541774749756,10.542529106140137,64.39921140670776,53,0.04233226837060703,61.47146167755131,197.2507781982422,True
26,21.478,104.346,1187,36.2935733795166,41.299774169921875,45.9317741394043,9.638200759887695,60.38907527923584,17,0.014321819713563605,53.302984237670906,105.45227813720703,False
27,183.097,105.908,1256,38.75119495391846,44.252960205078125,50.25960350036621,11.508408546447754,67.52221632003784,104,0.08280254777070063,103.18474960327148,5899.58251953125,True
28,88.437,105.59,1261,36.3551139831543,41.90727233886719,46.53715515136719,10.18204116821289,61.81021690368652,21,0.016653449643140365,54.86372756958008,89.01144409179688,False
29,176.913,108.304,1255,37.95111274719238,43.48111343383789,48.59371757507324,10.64260482788086,64.55762481689453,65,0.05179282868525897,65.41715316772459,506.9808349609375,True
30,256.612,113.443,1261,37.657840728759766,42.521724700927734,47.87356185913086,10.215721130371094,63.1971435546875,4,0.0031720856463124504,54.971046447753906,65.80033111572266,False
31,142.398,117.806,1252,36.42924499511719,41.648176193237305,46.66118240356445,10.231937408447266,62.00908851623535,31,0.02476038338658147,54.982975578308114,185.05075073242188,False
32,193.4,120.518,1261,38.389278411865234,43.9406623840332,50.15725326538086,11.767974853515625,67.8092155456543,75,0.05947660586835844,71.87100219726562,197.2507781982422,True
33,288.039,121.637,1257,37.737388610839844,42.6021842956543,47.19388198852539,9.456493377685547,61.37862205505371,3,0.002386634844868735,54.30508651733398,67.72049713134766,False
34,298.232,122.955,1067,38.048078536987305,42.942867279052734,47.57883834838867,9.530759811401367,61.87497806549072,8,0.007497656982193065,54.90569114685057,65.59691619873047,False
35,102.427,129.924,1254,36.19891357421875,40.93446731567383,45.773155212402344,9.574241638183594,60.134517669677734,8,0.006379585326953748,53.25614070892333,66.85730743408203,False
36,207.32,130.258,1257,38.201263427734375,43.204490661621094,48.881248474121094,10.679985046386719,64.90122604370117,49,0.03898170246618934,60.92531204223633,240.4217529296875,True
37,234.795,135.963,1260,37.89457130432129,42.63047409057617,47.87760543823242,9.983034133911133,62.85215663909912,16,0.012698412698412698,56.48244857788086,107.35858917236328,False
