186.902  5.106  INDEF  INDEF
312.958  7.931  INDEF  INDEF
63.598  19.202  12.905  0.005
288.596  20.773  16.617  0.071
18.141  26.493  17.334  0.133
184.307  42.415  17.236  0.133
227.136  45.481  17.056  0.123
248.674  49.459  17.899  0.247
214.593  64.633  16.883  0.096
132.709  66.779  17.705  0.190
81.882  69.420  15.365  0.026
189.656  68.382  16.773  0.093
230.332  69.588  17.579  0.174
295.819  70.698  17.495  0.158
196.410  72.517  15.525  0.037
192.191  82.908  12.588  0.004
32.689  83.640  17.663  0.172
238.664  86.627  17.478  0.143
110.606  88.646  17.592  0.156
154.810  102.246  16.676  0.071
20.910  102.604  16.465  0.061
176.476  106.490  16.342  0.053
256.097  111.552  16.935  0.093
210.598  115.276  16.970  0.102
141.617  116.543  17.063  0.103
192.778  118.651  17.673  0.182
287.571  120.083  16.784  0.093
297.501  121.323  16.913  0.098
101.562  128.199  16.938  0.102
206.611  128.508  16.681  0.074
104.206  134.636  17.118  0.112
234.408  134.285  13.362  0.006
308.456  146.571  INDEF  INDEF
270.429  148.357  16.765  0.081
231.375  149.297  17.272  0.149
69.493  160.934  16.745  0.088
132.201  162.230  17.753  0.197
83.141  163.204  16.224  0.053
199.648  170.142  16.471  0.066
311.865  171.769  INDEF  INDEF
251.403  174.011  17.436  0.149
194.061  175.579  16.467  0.078
84.445  177.920  18.608  0.418
41.589  178.602  16.204  0.050
297.549  178.404  17.895  0.254
183.218  180.521  13.086  0.006
15.267  182.560  17.053  0.095
183.682  189.216  12.294  0.003
70.940  191.550  17.757  0.191
290.551  192.598  16.555  0.073
211.566  193.984  16.530  0.069
185.170  212.471  15.876  0.036
274.498  214.433  17.504  0.150
255.847  219.359  17.160  0.108
63.499  227.386  16.499  0.059
298.710  228.220  13.405  0.006
311.116  228.939  INDEF  INDEF
234.824  234.228  17.622  0.163
165.482  235.932  15.029  0.019
205.608  236.014  16.623  0.074
277.556  240.432  17.159  0.117
296.420  254.494  18.881  0.609
272.157  255.542  17.081  0.113
20.826  258.356  12.885  0.005
142.805  258.498  15.800  0.037
309.941  259.714  INDEF  INDEF
291.568  273.468  16.271  0.054
29.951  284.399  16.962  0.099
277.473  285.436  17.174  0.125
149.616  286.079  14.694  0.015
196.755  291.625  16.719  0.087
187.430  295.619  15.617  0.032
225.198  295.468  17.218  0.127
254.620  296.507  17.072  0.113
226.609  310.424  17.894  0.238
281.652  309.921  16.976  0.094
86.000  314.378  18.445  0.358
312.817  319.335  INDEF  INDEF
44.490  322.529  14.319  0.011
208.891  323.745  14.182  0.010
119.902  324.948  17.100  0.106
276.210  339.665  18.074  0.269
243.802  343.527  17.025  0.096
85.271  349.945  17.640  0.176
270.499  360.465  16.605  0.068
129.440  362.530  15.140  0.021
190.448  372.322  16.814  0.082
265.606  381.658  17.757  0.196
202.143  394.908  17.524  0.163
294.698  396.542  16.207  0.053
104.425  402.333  17.285  0.130
203.907  402.860  16.835  0.084
209.928  404.834  17.020  0.101
295.236  406.326  16.362  0.059
26.413  406.548  16.149  0.046
267.433  408.359  17.028  0.107
66.797  410.567  16.955  0.088
68.523  411.115  16.920  0.086
42.631  412.462  16.023  0.042
257.421  415.934  17.404  0.180
307.866  416.474  INDEF  INDEF
241.524  417.493  16.968  0.097
104.496  425.609  14.565  0.013
271.443  427.570  15.968  0.042
278.933  429.575  16.582  0.086
250.536  443.506  17.266  0.122
313.441  448.630  INDEF  INDEF
74.838  449.696  17.355  0.136
124.533  451.065  16.964  0.085
170.148  453.660  17.674  0.177
68.203  455.543  16.345  0.056
69.558  460.400  16.584  0.071
257.753  462.383  16.951  0.103
254.128  475.360  17.341  0.145
294.530  479.412  16.224  0.052
276.812  488.480  17.107  0.113
259.957  493.354  16.571  0.069
178.524  498.395  17.316  0.139
101.652  505.969  INDEF  INDEF
