182.418  7.351  INDEF  INDEF
58.934  21.319  INDEF  INDEF
284.076  23.134  INDEF  INDEF
222.358  47.451  16.061  0.408
210.173  66.803  12.867  0.021
185.294  70.921  12.847  0.022
77.208  71.537  15.484  0.223
225.572  71.700  15.296  0.196
291.356  73.179  INDEF  INDEF
192.093  74.522  12.966  0.030
187.535  85.199  13.007  0.026
150.323  104.496  14.895  0.121
16.278  104.801  INDEF  INDEF
171.873  108.587  12.865  0.020
251.484  114.038  13.841  0.049
283.141  122.374  INDEF  INDEF
293.058  123.637  INDEF  INDEF
202.256  130.735  13.487  0.036
229.733  136.452  13.553  0.039
265.759  150.164  15.600  0.257
226.630  151.457  13.705  0.049
89.889  154.838  15.639  0.262
100.529  158.000  17.092  1.113
64.882  162.956  15.911  0.357
78.508  165.370  16.726  0.787
127.661  164.482  20.061  15.399
195.104  172.392  12.796  0.020
307.375  174.097  INDEF  INDEF
246.782  176.189  15.883  0.320
36.670  180.763  16.352  0.455
178.472  183.165  12.849  0.031
10.284  184.601  INDEF  INDEF
179.407  191.468  12.812  0.021
285.662  195.036  INDEF  INDEF
206.940  196.215  12.784  0.018
180.481  214.523  12.653  0.016
251.296  221.393  15.586  0.257
58.664  229.721  16.077  0.363
294.438  230.504  INDEF  INDEF
160.735  238.276  14.525  0.084
201.344  238.407  16.003  0.361
273.042  242.850  14.007  0.060
267.428  257.555  14.958  0.153
16.223  260.553  INDEF  INDEF
138.275  260.786  13.760  0.047
305.525  262.305  INDEF  INDEF
287.211  275.565  INDEF  INDEF
25.134  286.761  INDEF  INDEF
145.180  288.425  14.008  0.057
192.279  294.089  15.367  0.213
182.572  298.368  15.542  0.241
220.788  298.073  14.490  0.083
250.415  298.925  15.840  0.328
222.057  312.573  14.177  0.069
246.121  315.478  16.161  0.391
308.421  321.581  INDEF  INDEF
39.626  324.921  14.644  0.100
204.453  326.216  14.261  0.077
115.466  326.612  17.659  1.733
239.315  345.624  15.386  0.201
81.202  352.695  17.500  1.435
266.257  362.584  15.654  0.246
124.595  365.207  15.266  0.171
185.670  374.405  16.136  0.409
290.431  399.032  INDEF  INDEF
21.552  409.027  INDEF  INDEF
262.734  410.463  14.935  0.162
37.850  414.709  15.472  0.223
252.615  418.484  15.797  0.359
236.850  419.580  15.513  0.234
303.405  418.626  INDEF  INDEF
99.721  428.164  14.146  0.065
266.627  429.939  15.226  0.169
308.899  450.991  INDEF  INDEF
119.964  453.389  14.607  0.092
63.385  458.027  16.171  0.413
253.287  464.552  17.020  0.929
249.609  477.546  INDEF  INDEF
289.936  481.626  INDEF  INDEF
255.478  495.653  INDEF  INDEF
