186.902  5.106  INDEF  INDEF
312.958  7.931  INDEF  INDEF
63.598  19.202  12.898  0.005
288.596  20.773  16.568  0.100
18.141  26.493  17.321  0.196
184.307  42.415  17.146  0.183
227.136  45.481  16.985  0.173
248.674  49.459  17.558  0.272
214.593  64.633  17.050  0.166
132.709  66.779  17.554  0.247
81.882  69.420  15.347  0.035
189.656  68.382  15.838  0.060
230.332  69.588  17.436  0.229
295.819  70.698  17.359  0.209
196.410  72.517  13.204  0.008
192.191  82.908  12.569  0.005
32.689  83.640  17.296  0.185
238.664  86.627  17.293  0.180
110.606  88.646  17.565  0.228
154.810  102.246  16.668  0.104
20.910  102.604  16.533  0.094
176.476  106.490  16.274  0.073
256.097  111.552  16.879  0.131
210.598  115.276  16.713  0.120
141.617  116.543  16.804  0.121
192.778  118.651  17.691  0.277
287.571  120.083  16.354  0.094
297.501  121.323  16.410  0.093
101.562  128.199  16.682  0.120
206.611  128.508  16.673  0.109
104.206  134.636  16.970  0.147
234.408  134.285  13.350  0.007
308.456  146.571  INDEF  INDEF
270.429  148.357  16.655  0.109
231.375  149.297  16.730  0.137
69.493  160.934  16.529  0.107
132.201  162.230  17.729  0.290
83.141  163.204  16.142  0.073
199.648  170.142  16.296  0.084
311.865  171.769  INDEF  INDEF
251.403  174.011  17.425  0.220
194.061  175.579  15.815  0.065
84.445  177.920  18.853  0.792
41.589  178.602  16.111  0.068
297.549  178.404  17.509  0.270
183.218  180.521  12.350  0.005
15.267  182.560  16.834  0.116
183.682  189.216  12.274  0.004
70.940  191.550  17.635  0.257
290.551  192.598  16.302  0.085
211.566  193.984  16.474  0.097
185.170  212.471  15.851  0.051
274.498  214.433  17.480  0.219
255.847  219.359  17.157  0.160
63.499  227.386  16.366  0.077
298.710  228.220  13.394  0.007
311.116  228.939  INDEF  INDEF
234.824  234.228  17.459  0.210
165.482  235.932  15.010  0.026
205.608  236.014  16.635  0.111
277.556  240.432  17.147  0.173
296.420  254.494  18.945  0.978
272.157  255.542  17.017  0.159
20.826  258.356  12.876  0.005
142.805  258.498  15.760  0.051
309.941  259.714  INDEF  INDEF
291.568  273.468  16.282  0.080
29.951  284.399  16.917  0.140
277.473  285.436  16.954  0.152
149.616  286.079  14.688  0.020
196.755  291.625  15.630  0.049
187.430  295.619  15.355  0.037
225.198  295.468  17.083  0.168
254.620  296.507  16.971  0.154
226.609  310.424  17.879  0.354
281.652  309.921  16.830  0.123
86.000  314.378  18.140  0.408
312.817  319.335  INDEF  INDEF
44.490  322.529  14.309  0.015
208.891  323.745  14.182  0.013
119.902  324.948  16.932  0.135
276.210  339.665  17.851  0.330
243.802  343.527  16.966  0.135
85.271  349.945  17.588  0.251
270.499  360.465  16.726  0.112
129.440  362.530  15.083  0.027
190.448  372.322  16.776  0.117
265.606  381.658  17.612  0.258
202.143  394.908  17.351  0.209
294.698  396.542  15.933  0.061
104.425  402.333  17.188  0.177
203.907  402.860  16.605  0.101
209.928  404.834  17.001  0.148
295.236  406.326  15.768  0.051
26.413  406.548  16.079  0.063
267.433  408.359  16.810  0.131
66.797  410.567  16.841  0.117
68.523  411.115  16.849  0.119
42.631  412.462  15.969  0.058
257.421  415.934  17.341  0.257
307.866  416.474  INDEF  INDEF
241.524  417.493  16.815  0.126
104.496  425.609  14.546  0.017
271.443  427.570  15.842  0.054
278.933  429.575  16.215  0.091
250.536  443.506  17.123  0.160
313.441  448.630  INDEF  INDEF
74.838  449.696  16.661  0.109
124.533  451.065  16.725  0.101
170.148  453.660  17.853  0.312
68.203  455.543  16.230  0.074
69.558  460.400  16.485  0.096
257.753  462.383  16.985  0.159
254.128  475.360  17.367  0.223
294.530  479.412  16.158  0.072
276.812  488.480  17.017  0.155
259.957  493.354  16.441  0.091
178.524  498.395  INDEF  INDEF
101.652  505.969  INDEF  INDEF
