144.234  3.390  INDEF  INDEF
187.455  6.703  INDEF  INDEF
64.229  20.749  INDEF  INDEF
289.263  22.569  INDEF  INDEF
18.688  28.324  INDEF  INDEF
184.653  43.734  16.130  0.461
227.451  47.052  15.383  0.226
249.469  51.430  16.605  0.733
215.211  66.473  12.413  0.014
82.437  71.030  15.197  0.181
190.476  70.467  12.509  0.018
230.555  71.434  14.697  0.114
196.897  74.633  12.596  0.023
296.475  72.258  INDEF  INDEF
167.640  76.192  12.502  0.016
192.576  84.651  12.565  0.019
33.079  85.267  INDEF  INDEF
155.420  103.892  15.104  0.160
21.478  104.346  INDEF  INDEF
176.913  108.304  12.534  0.015
256.612  113.443  13.344  0.031
288.039  121.637  INDEF  INDEF
298.232  122.955  INDEF  INDEF
207.320  130.258  13.163  0.026
234.795  135.963  13.343  0.036
104.586  136.127  15.824  0.332
309.174  148.571  INDEF  INDEF
271.025  149.511  15.859  0.336
231.652  151.147  13.349  0.037
70.097  162.685  15.032  0.161
83.546  165.040  16.711  0.714
132.558  163.975  15.086  0.167
200.379  171.920  12.204  0.012
312.403  173.542  INDEF  INDEF
251.555  175.652  16.427  0.564
194.654  177.409  12.209  0.016
42.034  180.557  15.271  0.189
183.667  183.220  12.234  0.021
15.607  184.189  INDEF  INDEF
184.422  190.883  12.286  0.016
290.647  194.681  INDEF  INDEF
212.110  195.697  12.195  0.011
185.572  214.331  12.118  0.011
275.064  216.102  13.249  0.030
256.417  221.180  14.853  0.128
63.866  229.190  16.470  0.541
299.420  229.966  INDEF  INDEF
235.557  235.712  14.821  0.116
165.958  237.686  14.409  0.080
206.395  237.609  14.885  0.136
278.064  242.351  13.268  0.030
272.539  257.620  15.807  0.332
21.450  259.919  INDEF  INDEF
143.515  260.471  13.947  0.057
310.503  261.470  INDEF  INDEF
75.043  265.866  16.295  0.484
292.354  275.157  INDEF  INDEF
30.470  286.080  INDEF  INDEF
150.384  287.692  14.121  0.065
277.576  286.628  14.972  0.150
197.398  293.315  14.372  0.087
187.887  297.469  15.466  0.263
226.107  297.396  14.179  0.072
255.499  298.436  15.122  0.174
227.316  311.919  14.028  0.063
313.297  321.553  INDEF  INDEF
45.053  324.257  14.228  0.075
209.484  325.528  13.804  0.051
120.446  326.496  15.750  0.292
276.450  341.561  15.842  0.340
244.274  344.899  15.866  0.320
271.376  362.216  15.596  0.242
129.904  364.393  14.715  0.120
191.181  374.032  14.819  0.115
295.467  398.381  INDEF  INDEF
295.612  407.795  INDEF  INDEF
26.885  408.579  INDEF  INDEF
268.220  409.813  14.690  0.125
43.313  414.193  15.365  0.201
257.981  417.880  15.194  0.245
308.580  418.177  INDEF  INDEF
241.931  419.237  15.143  0.160
105.111  427.491  14.617  0.105
271.953  429.382  14.989  0.150
288.097  441.083  INDEF  INDEF
314.326  450.406  INDEF  INDEF
170.970  455.367  15.389  0.207
68.673  457.396  15.279  0.189
258.543  463.761  15.156  0.171
254.710  476.559  INDEF  INDEF
295.068  480.779  INDEF  INDEF
260.613  495.347  INDEF  INDEF
