186.902  5.106  INDEF  INDEF
312.958  7.931  INDEF  INDEF
63.598  19.202  12.900  0.006
288.596  20.773  16.521  0.134
18.141  26.493  17.205  0.249
184.307  42.415  16.907  0.208
227.136  45.481  16.863  0.218
248.674  49.459  17.579  0.393
214.593  64.633  17.010  0.226
132.709  66.779  17.322  0.283
81.882  69.420  15.309  0.047
189.656  68.382  13.535  0.011
230.332  69.588  17.156  0.251
295.819  70.698  17.210  0.258
196.410  72.517  12.611  0.006
192.191  82.908  12.556  0.005
32.689  83.640  17.271  0.254
238.664  86.627  17.118  0.217
110.606  88.646  17.448  0.289
154.810  102.246  16.613  0.138
20.910  102.604  16.534  0.132
176.476  106.490  16.292  0.103
256.097  111.552  16.763  0.166
210.598  115.276  16.092  0.097
141.617  116.543  16.579  0.139
192.778  118.651  17.313  0.277
287.571  120.083  16.184  0.113
297.501  121.323  16.316  0.120
101.562  128.199  16.690  0.170
206.611  128.508  16.422  0.122
104.206  134.636  16.797  0.177
234.408  134.285  13.340  0.009
308.456  146.571  INDEF  INDEF
270.429  148.357  16.471  0.129
231.375  149.297  14.625  0.029
69.493  160.934  15.846  0.082
132.201  162.230  17.523  0.340
83.141  163.204  15.840  0.077
199.648  170.142  16.181  0.106
311.865  171.769  INDEF  INDEF
251.403  174.011  17.259  0.267
194.061  175.579  14.775  0.036
84.445  177.920  17.055  0.217
41.589  178.602  16.053  0.090
297.549  178.404  16.360  0.134
183.218  180.521  12.278  0.006
15.267  182.560  16.616  0.133
183.682  189.216  12.268  0.004
70.940  191.550  17.170  0.237
290.551  192.598  16.253  0.115
211.566  193.984  16.394  0.126
185.170  212.471  15.836  0.070
274.498  214.433  17.358  0.276
255.847  219.359  17.017  0.198
63.499  227.386  16.267  0.098
298.710  228.220  13.375  0.009
311.116  228.939  INDEF  INDEF
234.824  234.228  17.554  0.322
165.482  235.932  15.016  0.036
205.608  236.014  16.599  0.151
277.556  240.432  17.011  0.215
296.420  254.494  17.847  0.506
272.157  255.542  16.897  0.201
20.826  258.356  12.870  0.006
142.805  258.498  15.693  0.067
309.941  259.714  INDEF  INDEF
291.568  273.468  16.256  0.109
29.951  284.399  16.781  0.175
277.473  285.436  16.656  0.163
149.616  286.079  14.692  0.027
196.755  291.625  15.413  0.056
187.430  295.619  15.287  0.048
225.198  295.468  16.762  0.177
254.620  296.507  16.858  0.195
226.609  310.424  17.488  0.351
281.652  309.921  16.696  0.152
86.000  314.378  17.978  0.498
312.817  319.335  INDEF  INDEF
44.490  322.529  14.311  0.019
208.891  323.745  14.177  0.016
119.902  324.948  16.719  0.156
276.210  339.665  17.809  0.450
243.802  343.527  16.837  0.169
85.271  349.945  17.476  0.320
270.499  360.465  16.723  0.157
129.440  362.530  15.020  0.035
190.448  372.322  16.688  0.151
265.606  381.658  17.699  0.395
202.143  394.908  17.074  0.230
294.698  396.542  15.896  0.082
104.425  402.333  17.174  0.246
203.907  402.860  16.561  0.136
209.928  404.834  16.737  0.164
295.236  406.326  15.594  0.061
26.413  406.548  15.992  0.081
267.433  408.359  16.278  0.114
66.797  410.567  16.733  0.150
68.523  411.115  16.780  0.157
42.631  412.462  15.928  0.077
257.421  415.934  16.591  0.183
307.866  416.474  INDEF  INDEF
241.524  417.493  16.712  0.161
104.496  425.609  14.528  0.023
271.443  427.570  15.839  0.075
278.933  429.575  16.127  0.119
250.536  443.506  16.948  0.192
313.441  448.630  INDEF  INDEF
74.838  449.696  16.424  0.123
124.533  451.065  16.539  0.119
170.148  453.660  17.768  0.408
68.203  455.543  16.134  0.094
69.558  460.400  16.376  0.122
257.753  462.383  16.695  0.172
254.128  475.360  16.676  0.168
294.530  479.412  16.082  0.094
276.812  488.480  16.987  0.212
259.957  493.354  16.342  0.116
178.524  498.395  INDEF  INDEF
101.652  505.969  INDEF  INDEF
