144.234  3.390  INDEF  INDEF
187.455  6.703  INDEF  INDEF
64.229  20.749  12.900  0.005
289.263  22.569  16.489  0.077
18.688  28.324  17.340  0.158
184.653  43.734  17.464  0.204
227.451  47.052  16.881  0.117
249.469  51.430  17.543  0.224
215.211  66.473  16.655  0.092
82.437  71.030  15.350  0.029
190.476  70.467  15.994  0.057
230.555  71.434  17.339  0.167
196.897  74.633  13.799  0.010
296.475  72.258  17.326  0.164
167.640  76.192  17.745  0.250
192.576  84.651  12.584  0.004
33.079  85.267  18.001  0.288
155.420  103.892  16.774  0.098
21.478  104.346  16.330  0.066
176.913  108.304  16.317  0.065
256.612  113.443  17.124  0.131
288.039  121.637  16.892  0.133
298.232  122.955  16.725  0.099
207.320  130.258  16.544  0.075
234.795  135.963  13.360  0.007
104.586  136.127  16.960  0.123
309.174  148.571  INDEF  INDEF
271.025  149.511  17.286  0.162
231.652  151.147  17.074  0.145
70.097  162.685  16.844  0.109
83.546  165.040  16.238  0.061
132.558  163.975  16.888  0.114
200.379  171.920  16.505  0.081
312.403  173.542  INDEF  INDEF
251.555  175.652  18.028  0.317
194.654  177.409  16.164  0.077
42.034  180.557  16.160  0.058
183.667  183.220  12.408  0.004
15.607  184.189  17.407  0.179
184.422  190.883  12.283  0.004
290.647  194.681  16.485  0.082
212.110  195.697  16.523  0.079
185.572  214.331  15.854  0.046
275.064  216.102  17.917  0.280
256.417  221.180  16.747  0.096
63.866  229.190  16.625  0.083
299.420  229.966  13.409  0.007
235.557  235.712  17.057  0.119
165.958  237.686  15.035  0.021
206.395  237.609  16.486  0.078
278.064  242.351  17.022  0.124
272.539  257.620  16.923  0.121
21.450  259.919  12.881  0.005
143.515  260.471  15.828  0.043
310.503  261.470  INDEF  INDEF
75.043  265.866  17.854  0.263
292.354  275.157  16.201  0.064
30.470  286.080  16.946  0.112
150.384  287.692  14.670  0.017
277.576  286.628  17.489  0.196
197.398  293.315  15.985  0.051
187.887  297.469  15.624  0.041
226.107  297.396  17.747  0.246
255.499  298.436  16.916  0.119
227.316  311.919  17.671  0.229
313.297  321.553  INDEF  INDEF
45.053  324.257  14.321  0.013
209.484  325.528  14.132  0.011
120.446  326.496  17.120  0.134
276.450  341.561  18.046  0.333
244.274  344.899  16.956  0.114
271.376  362.216  16.497  0.074
129.904  364.393  15.171  0.026
191.181  374.032  16.511  0.073
295.467  398.381  15.872  0.047
295.612  407.795  16.285  0.073
26.885  408.579  16.278  0.067
268.220  409.813  17.277  0.174
43.313  414.193  16.124  0.054
257.981  417.880  17.383  0.234
308.580  418.177  INDEF  INDEF
241.931  419.237  16.813  0.098
105.111  427.491  14.590  0.016
271.953  429.382  15.908  0.047
288.097  441.083  18.487  0.472
314.326  450.406  INDEF  INDEF
170.970  455.367  17.341  0.162
68.673  457.396  16.241  0.061
258.543  463.761  16.744  0.096
254.710  476.559  17.516  0.201
295.068  480.779  16.212  0.067
260.613  495.347  16.478  0.078
