14.279  0.009
18.018  0.170
13.448  0.006
16.976  0.068
18.030  0.165
17.576  0.110
17.434  0.094
17.340  0.094
17.765  0.136
17.461  0.110
17.201  0.089
15.900  0.028
17.766  0.139
17.515  0.104
16.917  0.070
17.811  0.136
12.974  0.005
17.932  0.158
16.832  0.060
16.883  0.062
16.577  0.048
17.195  0.081
17.514  0.104
18.131  0.195
17.195  0.083
17.535  0.110
16.896  0.062
17.497  0.106
13.756  0.007
17.777  0.137
17.272  0.084
17.619  0.125
18.904  0.390
19.132  0.465
17.103  0.074
16.755  0.057
17.548  0.110
17.200  0.086
15.733  0.026
17.365  0.093
17.355  0.101
18.586  0.277
16.497  0.043
20.524  1.665
14.871  0.014
17.474  0.099
12.907  0.004
18.584  0.280
16.888  0.063
16.721  0.055
16.169  0.036
18.420  0.233
17.254  0.084
16.763  0.055
14.252  0.009
17.123  0.081
15.460  0.019
16.738  0.055
17.137  0.080
17.088  0.076
13.435  0.006
16.100  0.031
17.032  0.074
16.411  0.043
17.150  0.076
17.910  0.158
14.336  0.010
17.035  0.072
16.692  0.052
17.911  0.154
17.062  0.071
17.558  0.111
17.655  0.121
19.214  0.470
17.399  0.100
14.628  0.012
14.500  0.011
17.469  0.104
17.126  0.073
17.895  0.143
17.914  0.145
16.686  0.053
16.165  0.034
16.986  0.066
17.743  0.125
17.931  0.155
18.396  0.232
16.445  0.044
17.570  0.108
16.972  0.073
16.478  0.045
17.476  0.108
16.942  0.064
16.942  0.064
16.354  0.041
17.574  0.119
17.124  0.076
17.392  0.100
14.218  0.009
19.613  0.671
16.421  0.045
17.023  0.071
18.501  0.246
18.065  0.168
16.741  0.056
17.368  0.092
18.155  0.186
16.749  0.051
17.020  0.070
17.682  0.120
17.709  0.136
16.458  0.045
17.389  0.095
16.717  0.058
17.392  0.095
