182.412  7.329  INDEF  INDEF
4.773  8.476  INDEF  INDEF
213.388  19.040  18.780  0.485
58.951  21.336  13.419  0.006
284.001  23.296  16.917  0.092
13.226  28.527  17.393  0.147
179.569  44.547  17.302  0.128
222.340  47.539  17.227  0.126
243.966  51.912  17.763  0.195
311.610  62.000  INDEF  INDEF
209.928  66.972  17.171  0.117
128.378  69.052  18.035  0.244
184.869  70.738  16.689  0.080
77.285  71.491  15.861  0.036
225.530  71.858  17.609  0.179
291.288  73.252  17.872  0.220
191.733  74.545  15.490  0.031
159.368  81.000  17.911  0.232
187.528  85.212  12.953  0.005
27.439  85.618  17.916  0.216
234.516  89.253  17.711  0.199
105.548  91.253  18.271  0.306
150.324  104.517  16.931  0.099
16.290  104.999  16.866  0.084
171.892  108.587  16.377  0.056
226.342  109.000  20.638  2.603
313.540  109.243  INDEF  INDEF
251.574  113.878  16.975  0.094
206.182  117.620  17.399  0.150
312.788  120.052  INDEF  INDEF
188.464  120.998  18.705  0.519
282.713  122.475  17.032  0.108
293.001  123.571  17.028  0.105
97.093  130.422  17.059  0.101
292.633  130.153  17.188  0.115
202.282  130.661  16.760  0.086
229.678  136.459  13.739  0.008
99.436  136.808  17.251  0.129
303.804  148.574  17.369  0.138
265.791  150.054  17.218  0.121
226.583  151.332  17.303  0.140
90.462  154.750  18.833  0.547
113.000  156.578  17.612  0.177
64.758  162.982  16.851  0.093
127.602  164.541  17.592  0.182
78.503  165.488  16.608  0.080
194.983  172.447  16.661  0.075
307.406  174.118  INDEF  INDEF
189.530  177.726  16.729  0.080
246.625  176.334  17.480  0.153
150.855  177.750  INDEF  INDEF
36.665  180.795  16.531  0.068
79.252  180.381  17.812  0.224
178.534  182.848  13.460  0.007
10.501  184.766  17.542  0.174
163.329  187.675  18.589  0.458
179.401  191.446  12.870  0.005
188.974  195.479  14.960  0.022
285.645  194.859  16.711  0.076
206.678  196.122  16.674  0.075
294.433  211.492  17.586  0.173
180.513  214.571  16.165  0.050
269.787  216.949  17.855  0.211
251.485  221.512  17.295  0.126
313.471  226.425  INDEF  INDEF
58.733  229.391  16.717  0.073
306.566  231.255  INDEF  INDEF
294.418  230.513  14.207  0.011
160.764  238.304  15.402  0.025
201.256  238.534  16.847  0.076
272.905  242.875  17.451  0.162
292.085  256.571  18.221  0.337
267.450  257.680  17.126  0.119
16.281  260.512  13.411  0.006
138.409  260.822  16.076  0.043
305.420  262.447  16.930  0.096
143.076  272.350  18.307  0.367
279.892  271.809  16.821  0.086
287.185  275.545  16.476  0.064
193.135  280.590  17.560  0.169
25.449  286.778  17.223  0.121
145.208  288.386  14.322  0.012
272.721  287.603  17.607  0.181
192.284  293.778  16.658  0.076
182.710  298.251  16.607  0.074
220.662  297.893  17.717  0.196
250.401  298.783  16.919  0.095
221.868  312.909  17.903  0.232
308.465  321.727  INDEF  INDEF
39.708  324.882  14.598  0.013
204.427  326.191  14.484  0.012
115.361  327.093  17.369  0.144
271.981  342.045  18.734  0.470
239.385  346.234  16.915  0.089
177.690  351.678  18.341  0.339
80.625  352.711  18.341  0.329
287.286  357.388  INDEF  INDEF
106.038  356.373  21.422  5.789
266.151  362.633  16.559  0.070
124.634  365.064  16.158  0.047
170.593  366.697  19.605  1.086
185.845  374.494  17.108  0.107
224.603  383.712  18.160  0.273
261.239  384.016  17.811  0.203
197.205  397.440  17.625  0.161
290.383  398.879  16.272  0.051
99.484  404.602  17.276  0.120
199.342  405.515  17.101  0.100
205.227  406.959  17.439  0.142
21.549  408.952  16.359  0.057
290.563  408.584  16.717  0.083
263.131  410.497  17.243  0.135
63.124  413.117  17.173  0.117
37.949  414.748  16.294  0.054
252.580  418.241  17.714  0.218
303.550  418.596  17.088  0.117
236.703  419.634  16.965  0.090
290.255  426.842  INDEF  INDEF
99.732  428.067  14.199  0.010
266.602  429.946  16.197  0.050
274.107  431.507  16.534  0.070
52.263  435.241  18.328  0.308
282.185  440.992  17.846  0.235
246.171  445.613  17.352  0.130
309.074  450.879  INDEF  INDEF
120.125  453.196  17.339  0.131
165.484  456.008  17.960  0.242
63.546  457.955  16.441  0.058
65.148  463.000  16.500  0.064
253.348  464.491  16.981  0.098
160.285  471.855  17.446  0.147
249.483  477.458  17.519  0.175
290.035  481.345  16.223  0.053
295.598  486.629  16.336  0.056
272.401  490.419  16.463  0.063
302.774  494.603  17.642  0.202
255.493  495.465  16.750  0.089
262.626  496.582  16.437  0.061
173.856  500.492  17.181  0.121
96.635  507.988  INDEF  INDEF
