144.234  3.390  INDEF  INDEF
187.455  6.703  INDEF  INDEF
64.229  20.749  12.923  0.004
289.263  22.569  16.642  0.054
18.688  28.324  17.627  0.122
184.653  43.734  17.406  0.115
227.451  47.052  16.935  0.074
249.469  51.430  17.495  0.127
215.211  66.473  16.794  0.063
82.437  71.030  15.384  0.020
190.476  70.467  16.894  0.076
230.555  71.434  17.413  0.107
196.897  74.633  16.357  0.054
296.475  72.258  17.695  0.136
167.640  76.192  17.791  0.154
192.576  84.651  12.611  0.004
33.079  85.267  17.911  0.157
155.420  103.892  16.723  0.058
21.478  104.346  16.404  0.044
176.913  108.304  16.426  0.045
256.612  113.443  17.109  0.078
288.039  121.637  17.049  0.091
298.232  122.955  17.239  0.094
207.320  130.258  16.574  0.048
234.795  135.963  13.384  0.006
104.586  136.127  17.180  0.089
309.174  148.571  INDEF  INDEF
271.025  149.511  17.181  0.088
231.652  151.147  17.392  0.114
70.097  162.685  16.862  0.067
83.546  165.040  16.226  0.038
132.558  163.975  17.165  0.088
200.379  171.920  16.931  0.072
312.403  173.542  INDEF  INDEF
251.555  175.652  17.656  0.134
194.654  177.409  16.993  0.095
42.034  180.557  16.250  0.039
183.667  183.220  13.661  0.008
15.607  184.189  17.412  0.107
184.422  190.883  12.319  0.003
290.647  194.681  16.888  0.071
212.110  195.697  16.604  0.052
185.572  214.331  15.842  0.029
275.064  216.102  17.865  0.158
256.417  221.180  16.929  0.069
63.866  229.190  16.720  0.055
299.420  229.966  13.431  0.006
235.557  235.712  17.360  0.094
165.958  237.686  15.047  0.015
206.395  237.609  16.578  0.052
278.064  242.351  17.091  0.079
272.539  257.620  17.097  0.085
21.450  259.919  12.909  0.004
143.515  260.471  15.812  0.028
310.503  261.470  INDEF  INDEF
75.043  265.866  18.075  0.189
292.354  275.157  16.266  0.042
30.470  286.080  17.006  0.072
150.384  287.692  14.690  0.012
277.576  286.628  17.549  0.123
197.398  293.315  16.880  0.067
187.887  297.469  15.717  0.029
226.107  297.396  17.599  0.128
255.499  298.436  16.944  0.074
227.316  311.919  17.428  0.109
313.297  321.553  INDEF  INDEF
45.053  324.257  14.335  0.010
209.484  325.528  14.169  0.009
120.446  326.496  17.237  0.090
276.450  341.561  17.992  0.187
244.274  344.899  16.993  0.072
271.376  362.216  16.543  0.048
129.904  364.393  15.229  0.019
191.181  374.032  16.682  0.052
295.467  398.381  16.211  0.040
295.612  407.795  16.926  0.078
26.885  408.579  16.247  0.041
268.220  409.813  17.279  0.103
43.313  414.193  16.091  0.034
257.981  417.880  17.364  0.135
308.580  418.177  17.132  0.092
241.931  419.237  17.011  0.071
105.111  427.491  14.601  0.012
271.953  429.382  16.216  0.039
288.097  441.083  18.786  0.361
314.326  450.406  INDEF  INDEF
170.970  455.367  17.569  0.119
68.673  457.396  16.569  0.051
258.543  463.761  16.843  0.064
254.710  476.559  17.487  0.116
295.068  480.779  16.215  0.042
260.613  495.347  16.596  0.053
