144.234  3.390  INDEF  INDEF
187.455  6.703  14.115  0.008
64.229  20.749  13.113  0.005
289.263  22.569  16.901  0.038
18.688  28.324  17.774  0.072
184.653  43.734  17.497  0.064
227.451  47.052  17.220  0.050
249.469  51.430  17.739  0.079
215.211  66.473  17.070  0.044
82.437  71.030  15.566  0.016
190.476  70.467  17.562  0.068
230.555  71.434  17.657  0.068
196.897  74.633  17.648  0.082
296.475  72.258  17.732  0.072
167.640  76.192  18.106  0.100
192.576  84.651  12.796  0.004
33.079  85.267  18.028  0.087
155.420  103.892  16.893  0.038
21.478  104.346  16.580  0.030
176.913  108.304  16.722  0.033
256.612  113.443  17.299  0.050
288.039  121.637  17.177  0.053
298.232  122.955  17.576  0.065
207.320  130.258  16.829  0.035
234.795  135.963  13.572  0.006
104.586  136.127  17.652  0.069
309.174  148.571  17.821  0.076
271.025  149.511  17.397  0.056
231.652  151.147  17.681  0.073
70.097  162.685  17.090  0.044
83.546  165.040  16.417  0.027
132.558  163.975  17.558  0.064
200.379  171.920  17.316  0.053
312.403  173.542  INDEF  INDEF
251.555  175.652  17.676  0.070
194.654  177.409  17.601  0.079
42.034  180.557  16.495  0.029
183.667  183.220  16.310  0.034
15.607  184.189  17.567  0.063
184.422  190.883  12.513  0.004
290.647  194.681  17.410  0.058
212.110  195.697  16.780  0.035
185.572  214.331  16.034  0.022
275.064  216.102  17.862  0.080
256.417  221.180  17.299  0.051
63.866  229.190  17.000  0.040
299.420  229.966  13.626  0.006
235.557  235.712  17.766  0.069
165.958  237.686  15.253  0.013
206.395  237.609  16.762  0.035
278.064  242.351  17.176  0.046
272.539  257.620  17.277  0.052
21.450  259.919  13.126  0.005
143.515  260.471  16.047  0.022
310.503  261.470  17.288  0.053
75.043  265.866  18.412  0.124
292.354  275.157  16.449  0.029
30.470  286.080  17.246  0.048
150.384  287.692  14.889  0.011
277.576  286.628  17.826  0.079
197.398  293.315  17.173  0.047
187.887  297.469  15.885  0.021
226.107  297.396  17.778  0.075
255.499  298.436  17.196  0.049
227.316  311.919  17.567  0.064
313.297  321.553  INDEF  INDEF
45.053  324.257  14.546  0.009
209.484  325.528  14.373  0.009
120.446  326.496  17.423  0.056
276.450  341.561  18.169  0.107
244.274  344.899  17.359  0.053
271.376  362.216  16.721  0.033
129.904  364.393  15.438  0.015
191.181  374.032  17.023  0.040
295.467  398.381  16.516  0.030
295.612  407.795  17.222  0.053
26.885  408.579  16.405  0.028
268.220  409.813  17.433  0.061
43.313  414.193  16.266  0.025
257.981  417.880  17.561  0.079
308.580  418.177  17.299  0.054
241.931  419.237  17.177  0.045
105.111  427.491  14.786  0.011
271.953  429.382  16.627  0.032
288.097  441.083  18.741  0.165
314.326  450.406  INDEF  INDEF
170.970  455.367  17.947  0.083
68.673  457.396  17.038  0.042
258.543  463.761  17.083  0.043
254.710  476.559  17.741  0.073
295.068  480.779  16.423  0.029
260.613  495.347  16.852  0.037
